text,date,retweets,favorites,negative,neutral,positive,compound
"United Airlines severs ties with NRA, continues to contribute to Planned Parenthood: Watchdog - http://go.shr.lc/2FC2xeh  - @ washtimes",2018-02-28 21:11:09,0,0,0.0,0.833,0.167,0.4215
Corey Lewandoski’s wife lost her first husband on 9/11. On United Airlines flight. Corey has four children with her. I think Hope resigned because the only man left is Stephen Miller and this may be the line in the sand for her.,2018-02-28 21:02:20,0,0,0.091,0.787,0.121,0.34
@ united airlines : I sever my ties with you.,2018-02-28 21:01:59,0,0,0.0,0.682,0.318,0.4215
Star Alliance partners Singapore A350 and United B787 depart Houston IAH 15L # avgeek # dreamliner # boeing # airbus # a350xwb # staralliance # UnitedAirlines # SingaporeAirlinespic.twitter.com/b5ALHH9aGZ,2018-02-28 20:56:31,1,3,0.0,0.872,0.128,0.4215
"Disgusting: United Airlines cuts ties with the nation’s oldest civil rights group, the NRA, but continues to fund abortion murder https://naturalnews.com/2018-02-28-united-airlines-cuts-ties-with-civil-rights-group-nra-funds-abortion-murder.html …",2018-02-28 20:55:35,0,0,0.354,0.581,0.065,-0.8573
