username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
benniferjoyers,I just posted a picture of me crying to my Snapchat story so yeah ask me how Pisces season is going.,2018-02-25 15:55:37,[''],[''],,0,1,967910989164359683,https://twitter.com/benniferjoyers/status/967910989164359683
MarkCayzer,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:55:36,[''],[''],,0,0,967910986228236288,https://twitter.com/MarkCayzer/status/967910986228236288
Berrysicles,Snapchat Murders Still Not a Cold Case https://lnkd.in/eBC3nYV,2018-02-25 15:55:32,[''],[''],,0,0,967910969291739136,https://twitter.com/Berrysicles/status/967910969291739136
milirruls,"Llegas a tu casa, metes Twitter, Instagram, Snapchat... Y te das cuenta que no prendiste el wifi # chaudatos # soyunapelotudapic.twitter.com/LBr7fG0RFo",2018-02-25 15:55:32,[''],"['chaudatos', 'soyunapelotudapic']",,0,2,967910968150851585,https://twitter.com/milirruls/status/967910968150851585
invisibleseas,yep and she would get fed up and shade us on her snapchat we were a mess https://twitter.com/quitjennie/status/967909042843803648 …,2018-02-25 15:55:23,[''],[''],,0,4,967910932872597505,https://twitter.com/invisibleseas/status/967910932872597505
20Minutes,"# RediffStrasbourg: Il écrit à des adolescentes sur Snapchat, ils le frappent et l'affichent comme pédophile sur Facebook http://bit.ly/2sWa8l8 pic.twitter.com/BrtfzkUHL0",2018-02-25 15:55:18,[''],[u'RediffStrasbourg'],,7,2,967910911313838081,https://twitter.com/20Minutes/status/967910911313838081
alisonconnelly_,"Anyone else go to write a caption on Snapchat, move it up a wee bit then it gets binned nd am too lazy to type it out again so it gets patched",2018-02-25 15:55:15,[''],[''],,0,3,967910899393744896,https://twitter.com/alisonconnelly_/status/967910899393744896
jennahhhhhhhhh,Snapchat filters for the win. Always. pic.twitter.com/gUVlUOCI89,2018-02-25 15:55:06,[''],[''],,0,30,967910861053530112,https://twitter.com/jennahhhhhhhhh/status/967910861053530112
miladawson1,Along with the new update snapchat decided to unblock everyone I’d blocked ... okay cute,2018-02-25 15:54:47,[''],[''],,0,1,967910781907034114,https://twitter.com/miladawson1/status/967910781907034114
yaradaenerys,"if i ever leave you on open on snapchat, i’m probably on the toilet",2018-02-25 15:54:41,[''],[''],,0,1,967910756481163265,https://twitter.com/yaradaenerys/status/967910756481163265
eeronia,"When the guy you like messages you on Snapchat and without opening it, knowing it’s going to say “stop sending me shit”",2018-02-25 15:54:41,[''],[''],,0,1,967910755487109120,https://twitter.com/eeronia/status/967910755487109120
bethbwestbrook,I either need to remember to screenshot photos of me and pals on snapchat or actually remember to take my own,2018-02-25 15:54:36,[''],[''],,0,0,967910733156638720,https://twitter.com/bethbwestbrook/status/967910733156638720
L_meiehofer,Snapchat - olivia_goldiex,2018-02-25 15:54:30,[''],[''],,1,1,967910709563674625,https://twitter.com/L_meiehofer/status/967910709563674625
polisismo,Só o que me faltava minha mãe no snapchat,2018-02-25 15:54:28,[''],[''],,0,4,967910701846220800,https://twitter.com/polisismo/status/967910701846220800
trainerisis,"me: glances at feed me: “idk why there’s a dick pic on snapchat but okay” me, seconds later: “Oh” pic.twitter.com/ExNMgAyT5v",2018-02-25 15:54:26,[''],[''],,0,3,967910692333543424,https://twitter.com/trainerisis/status/967910692333543424
Youtube_Rileigh,I have Snapchat but no friends,2018-02-25 15:54:14,[''],[''],,0,0,967910642765221888,https://twitter.com/Youtube_Rileigh/status/967910642765221888
saad_1122s,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:54:11,[''],[''],,0,0,967910628844298240,https://twitter.com/saad_1122s/status/967910628844298240
beechkassy23,I seen the same snaps over and over again @ Snapchat,2018-02-25 15:54:10,['Snapchat'],[''],,0,0,967910625002315777,https://twitter.com/beechkassy23/status/967910625002315777
aidanstirrup,Petition to stop people uploading shite snapchat filters on instagram please,2018-02-25 15:54:06,[''],[''],,2,15,967910605968506886,https://twitter.com/aidanstirrup/status/967910605968506886
SSJAudrey,Gunna be firing up the # stream again soon. # Snapchat audreysforthsn pic.twitter.com/UKMOQ4Sf6O,2018-02-25 15:53:57,[''],"['stream', 'Snapchat']",,0,2,967910569499119618,https://twitter.com/SSJAudrey/status/967910569499119618
SimplyKTL,& All now I’m still lost when i open snapchat because of this upda... i mean downgrade. Kmt,2018-02-25 15:53:52,[''],[''],,0,0,967910551111299072,https://twitter.com/SimplyKTL/status/967910551111299072
breains_314,Does anyone else keep accidentalLY DELETING THE TEXT ON SNAPCHAT,2018-02-25 15:53:51,[''],[''],,0,2,967910543368622082,https://twitter.com/breains_314/status/967910543368622082
RashmaAktar1,And people are fake their is no true people in this world these days not even your best friend their is no point trusting people because you don't know what would happen,2018-02-25 15:53:48,[''],[''],,0,0,967910531821600768,https://twitter.com/RashmaAktar1/status/967910531821600768
pogform,"this reminds me of when my friend and i got arrested and the cops didn’t take my friend’s phone before putting us in the back of the van, and my friend pulled their phone out and posted on snapchat https://twitter.com/shadesof666/status/967596326438531072 …",2018-02-25 15:53:40,[''],[''],,0,24,967910499189968896,https://twitter.com/pogform/status/967910499189968896
Neortx,@ Flankxr your snapchat has been found https://twitter.com/emmaafritzz/status/967427388534648832 …,2018-02-25 15:53:35,[u'Flankxr'],[''],,0,2,967910476746125312,https://twitter.com/Neortx/status/967910476746125312
mxrcdillon,"Dear @ Snap @ Snapchat @ snapchatsupport , do us favor and reverse that update. I have resorted to taking my revered antics to IG and FB stories. I NEVER used those stories until that update. That update is weak as fuck. Snapchat used to have have cult status. Now its just wack bro",2018-02-25 15:53:31,"['Snap', 'Snapchat', 'snapchatsupport']",[''],,0,1,967910461328027653,https://twitter.com/mxrcdillon/status/967910461328027653
lovelikephil,when the snapchat filter comes off pic.twitter.com/a3j5oIUOSB,2018-02-25 15:53:30,[''],[''],,1,8,967910455988576256,https://twitter.com/lovelikephil/status/967910455988576256
DeejayCombs,"Snapchat is so annoying now and if it wasn’t for the streaks I currently have, I would’ve deleted it instagram is so much better imo",2018-02-25 15:53:17,[''],[''],,6,64,967910400783273984,https://twitter.com/DeejayCombs/status/967910400783273984
KKokitka,I just learned Snapchat and now they changed it and I am so confused. I tried sliding the bar didn’t eork,2018-02-25 15:52:57,[''],[''],,0,1,967910319422099456,https://twitter.com/KKokitka/status/967910319422099456
URPARENTSDEAD,snapchat story boys,2018-02-25 15:52:44,[''],[''],,0,0,967910266007584769,https://twitter.com/URPARENTSDEAD/status/967910266007584769
EmilK97,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:52:02,[''],[''],,0,0,967910087414173696,https://twitter.com/EmilK97/status/967910087414173696
criticallykim,when you’re so ugly that snapchat breaks when you’re tryna be cute pic.twitter.com/yBOMFERCSk,2018-02-25 15:51:50,[''],[''],,0,1,967910036822409216,https://twitter.com/criticallykim/status/967910036822409216
oliviastephens0,Relationship goals is having a Snapchat filter that’s “yours” instead of a song,2018-02-25 15:51:46,[''],[''],,0,4,967910021832036352,https://twitter.com/oliviastephens0/status/967910021832036352
kempen_katie,Yeah I thought sc is Snapchat,2018-02-25 15:51:45,[''],[''],,1,8,967910017570693121,https://twitter.com/kempen_katie/status/967910017570693121
kvrstxnn_bot,"SOCIAL MEDIA: Instagram: mcunicornfish, YouTube: kvrstxnn, Snapchat: mcunicornfish",2018-02-25 15:51:37,[''],[''],,0,0,967909983420592128,https://twitter.com/kvrstxnn_bot/status/967909983420592128
gomezchevete,# funny # drugs # haha # fuck # anything # bayarea # california # snapchat #@ # gay # drinking # now # hitspic.twitter.com/l0IMXFao6t,2018-02-25 15:51:34,[u''],"[u'funny', u'drugs', u'haha', u'fuck', u'anything', u'bayarea', u'california', u'snapchat', u'gay', u'drinking', u'now', u'hitspic']",,0,0,967909972116832261,https://twitter.com/gomezchevete/status/967909972116832261
Jake35783532,Add me on Snapchat! Username: jjacoby4431 https://www.snapchat.com/add/jjacoby4431,2018-02-25 15:51:27,[''],[''],,0,0,967909941955694592,https://twitter.com/Jake35783532/status/967909941955694592
StevenCundari,Born after 2003: Facebook Twitter iPhone iPad Android YouTube AWS Apple App Store Tesla Uber Airbnb Blockchain Bitcoin Square Stripe Spotify Instagram Snapchat WhatsApp Pinterest Kickstarter Messenger Quora Tumblr HubSpot Hulu Box Nest Fitbit Oculus Dropbox Kindle 4G,2018-02-25 15:51:11,[''],[''],,0,2,967909873357852672,https://twitter.com/StevenCundari/status/967909873357852672
Danialdattu,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:51:10,[''],[''],,0,0,967909869260083204,https://twitter.com/Danialdattu/status/967909869260083204
ChicaPinkie,Que risas con el nuevo filtro de # Snapchat jajaja el conejito bailando,2018-02-25 15:51:02,[''],['Snapchat'],,0,1,967909836091482114,https://twitter.com/ChicaPinkie/status/967909836091482114
ftrsgz,just cause i dont post often on snapchat or instagram doesnt mean im not on social media have u seen my twitter account bitch,2018-02-25 15:50:58,[''],[''],,0,0,967909819620327424,https://twitter.com/ftrsgz/status/967909819620327424
thestruttalk,I haven’t been on SnapChat in weeks only to find a trash ass update. How the hell do you watch stories? I’m so confused...,2018-02-25 15:50:51,[''],[''],,0,2,967909790553751552,https://twitter.com/thestruttalk/status/967909790553751552
abz994,@ Snapchat fix up at least give us an option bih I do not like your update Why you lot ignoring the people! Acting like a corrupt government,2018-02-25 15:50:46,['Snapchat'],[''],,0,0,967909767959236609,https://twitter.com/abz994/status/967909767959236609
