username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
m7mmd_60,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:56,[''],[''],,0,0,967187298130518017,https://twitter.com/m7mmd_60/status/967187298130518017
i_nazef29,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:55,[''],[''],,0,0,967187298113736704,https://twitter.com/i_nazef29/status/967187298113736704
camigalli_91,Vuelve el perro arrepentido con snapchat,2018-02-23 15:59:54,[''],[''],,0,0,967187293709783040,https://twitter.com/camigalli_91/status/967187293709783040
Powrbttom,"Snapchat found dead, Instagram is throwing a party https://twitter.com/kyliejenner/status/966429897118728192 …",2018-02-23 15:59:48,[''],[''],,0,13,967187267168108545,https://twitter.com/Powrbttom/status/967187267168108545
emstyles__,smhh snapchat dead updated on its own in my phone,2018-02-23 15:59:46,[''],[''],,0,0,967187258020368385,https://twitter.com/emstyles__/status/967187258020368385
PrestonStewart_,Someone explain to me why my little cousin (she’s 13) just sent me a snapchat saying “I’m gonna be a Virgin until I’m 60” I’m disgusted,2018-02-23 15:59:46,[''],[''],,0,1,967187257483546627,https://twitter.com/PrestonStewart_/status/967187257483546627
rownelsonx,so my brother won £200 on a pub quiz last night and I check snapchat and he’s decided to go to Amsterdam. Wish I had that lifestyle,2018-02-23 15:59:45,[''],[''],,0,14,967187253901647872,https://twitter.com/rownelsonx/status/967187253901647872
diakhaby11,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:44,[''],[''],,0,0,967187250223157250,https://twitter.com/diakhaby11/status/967187250223157250
EpicSlayer8,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:44,[''],[''],,0,0,967187249703120896,https://twitter.com/EpicSlayer8/status/967187249703120896
TJTwoLetters,Buying Snapchat accounts dm,2018-02-23 15:59:44,[''],[''],,1,0,967187248079876097,https://twitter.com/TJTwoLetters/status/967187248079876097
66etty,@ CG_Febiven do u still use snapchat ! ! !,2018-02-23 15:59:43,['CG_Febiven'],[''],,0,0,967187245034688512,https://twitter.com/66etty/status/967187245034688512
RrustemRr,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:41,[''],[''],,0,0,967187236939796480,https://twitter.com/RrustemRr/status/967187236939796480
Ebird131,So I’m snapping a friend and she responded to me and the minute I open her snap someone else snapped me and my Snapchat format changed to the new update,2018-02-23 15:59:40,[''],[''],,0,4,967187233756229632,https://twitter.com/Ebird131/status/967187233756229632
ammarversi,Snapchat is so lame now deadass I be ready to fight,2018-02-23 15:59:40,[''],[''],,1,2,967187233425035264,https://twitter.com/ammarversi/status/967187233425035264
Izzy99xox,Held on to the old snapchat for as long as I could but it finally updated itself :(((,2018-02-23 15:59:40,[''],[''],,0,0,967187232191901703,https://twitter.com/Izzy99xox/status/967187232191901703
FUCKUBRiTTNEY,Y’all forgot something @ Snapchat pic.twitter.com/MkE6xsy4qE,2018-02-23 15:59:40,[u'Snapchat'],[''],,0,0,967187231512276992,https://twitter.com/FUCKUBRiTTNEY/status/967187231512276992
Violet_Narwhal,I love how Snapchat has comic sans as a font cause that's all I'm gonna use from now on,2018-02-23 15:59:39,[''],[''],,0,3,967187227762741248,https://twitter.com/Violet_Narwhal/status/967187227762741248
SaintSamD,Didn’t Snapchat say they’ll reverse this freaking update ?,2018-02-23 15:59:38,[''],[''],,0,1,967187226764423168,https://twitter.com/SaintSamD/status/967187226764423168
bradyybabe,Thanks to SnapChat I cant slide half way over to look at a message,2018-02-23 15:59:38,[''],[''],,0,6,967187226609307648,https://twitter.com/bradyybabe/status/967187226609307648
QuintonMcKee30,Snapchat pissing me off with these updates,2018-02-23 15:59:36,[''],[''],,0,0,967187217687990272,https://twitter.com/QuintonMcKee30/status/967187217687990272
ShawnCrouse10,Anyone wanna start a Snapchat streak,2018-02-23 15:59:35,[''],[''],,0,3,967187214001213440,https://twitter.com/ShawnCrouse10/status/967187214001213440
Foxtail40,When its friday night and your friends wont text you back. Then you see them on snapchat all… https://www.instagram.com/p/BfjvrEuAu_g/,2018-02-23 15:59:32,[''],[''],,0,0,967187197978906624,https://twitter.com/Foxtail40/status/967187197978906624
annabelwhoo,The update of the snapchat update isn’t too bad.,2018-02-23 15:59:31,[''],[''],,0,0,967187195130994694,https://twitter.com/annabelwhoo/status/967187195130994694
wllo4,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:30,[''],[''],,0,0,967187191154855936,https://twitter.com/wllo4/status/967187191154855936
JSUVZO,My Snapchat finally updated & I have a reason to delete the app now,2018-02-23 15:59:29,[''],[''],,0,0,967187188873080832,https://twitter.com/JSUVZO/status/967187188873080832
QueenKeyy__,My damn Snapchat done finally update it damn self,2018-02-23 15:59:28,[''],[''],,0,0,967187181545709568,https://twitter.com/QueenKeyy__/status/967187181545709568
KrysyndaDay,"Crisis workers from a South Florida mental health facility were called in 2016 to hold alleged gunman Nikolas Cruz for a psychiatric evaluation after he sent out a Snapchat video in which he cut his arms and said he wanted to buy a gun, according to a mental health report.",2018-02-23 15:59:27,[''],[''],,0,0,967187179905658881,https://twitter.com/KrysyndaDay/status/967187179905658881
FaythRoche,i was going through my snapchat memories and came across videos of someone that i don’t talk to anymore and miss and i started crying lol,2018-02-23 15:59:27,[''],[''],,0,2,967187177556860929,https://twitter.com/FaythRoche/status/967187177556860929
3306bf3b7efb4b8,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:27,[''],[''],,0,0,967187177326174216,https://twitter.com/3306bf3b7efb4b8/status/967187177326174216
lovinjorbyn,where are them red checkered pants from you had on in your snapchat story?,2018-02-23 15:59:26,[''],[''],,1,20,967187174935420928,https://twitter.com/lovinjorbyn/status/967187174935420928
NXsJzcL88xXjk07,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:25,[''],[''],,0,0,967187170158153729,https://twitter.com/NXsJzcL88xXjk07/status/967187170158153729
ZayyOrtiz,"My social media’s going thru changes. Go follow all the noise. Whether it’s Facebook, Twitter, Instagram, Snapchat, Tumblr, SoundCloud, q se yo, go follow @ ZayyOrtiz on all these platforms. They all getting the work. # iMakeItEasyForYou # QuitLurking # HitThatFollow",2018-02-23 15:59:22,[u'ZayyOrtiz'],"[u'iMakeItEasyForYou', u'QuitLurking', u'HitThatFollow']",,0,0,967187157474521089,https://twitter.com/ZayyOrtiz/status/967187157474521089
lajoiekayla,The one thing about the snap chat update is that it probably has all the local “public figures” feeling all types of important being able to post their stories on public,2018-02-23 15:59:18,[''],[''],,0,0,967187142140100608,https://twitter.com/lajoiekayla/status/967187142140100608
yatzary_espino,I love you both,2018-02-23 15:59:18,[''],[''],,0,1,967187141661949953,https://twitter.com/yatzary_espino/status/967187141661949953
christelect2015,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:16,[''],[''],,0,0,967187132178722817,https://twitter.com/christelect2015/status/967187132178722817
AshleyFolkert,@ Snapchat stop updating! I just got used to it and now I can’t see anyone’s stories anymore # snapchatupdate,2018-02-23 15:59:14,[u'Snapchat'],[u'snapchatupdate'],,0,0,967187125937606656,https://twitter.com/AshleyFolkert/status/967187125937606656
adamkennethfitz,I’ve downloaded Snapchat again thinking there must be a way to delete stories from the rag from it can anyone help? # snapchat,2018-02-23 15:59:14,[''],[u'snapchat'],,0,0,967187124540801024,https://twitter.com/adamkennethfitz/status/967187124540801024
martindegiuli,Que para el orto me esta andando snapchat,2018-02-23 15:59:14,[''],[''],,0,0,967187123781685249,https://twitter.com/martindegiuli/status/967187123781685249
gaganauseus,Um okay so snapchat lets the other person know that you’ve recoded the snap like I’m gonna cry,2018-02-23 15:59:13,[''],[''],,0,0,967187120837275648,https://twitter.com/gaganauseus/status/967187120837275648
princeofnorway,Just installed the new @ Snapchat update andddddd it still sucks,2018-02-23 15:59:12,['Snapchat'],[''],,8,72,967187117074931712,https://twitter.com/princeofnorway/status/967187117074931712
ms_reebe,"So I've just been schooled by a teenager that I'm using Snapchat wrong. I didn't realize when you get a snap you're supposed to respond back with a snap instead of writing a message back. Apparently, I'm old",2018-02-23 15:59:12,[''],[''],,0,1,967187114868822016,https://twitter.com/ms_reebe/status/967187114868822016
KrysyndaDay,"Crisis workers from a South Florida mental health facility were called in 2016 to hold alleged gunman Nikolas Cruz for a psych eval after he sent out a Snapchat video in which he cut his arms and said he wanted to buy a gun, https://www.nbcnews.com/news/us-news/social-media-post-led-florida-agency-investigate-nikolas-cruz-2016-n849221 …",2018-02-23 15:59:12,[''],[''],,0,0,967187114080243714,https://twitter.com/KrysyndaDay/status/967187114080243714
Girianax3,My snapchat updated today and this is horrible,2018-02-23 15:59:11,[''],[''],,0,0,967187111165210624,https://twitter.com/Girianax3/status/967187111165210624
bbcmundo,El tuit de la celebridad estadounidense Kylie Jenner que le costó US$1.500 millones a Snapchat http://bbc.in/2HHsz02 pic.twitter.com/HSEfUYrV7n,2018-02-23 15:59:07,[''],[''],,7,14,967187095906324480,https://twitter.com/bbcmundo/status/967187095906324480
bbcmundo,El tuit de la celebridad estadounidense Kylie Jenner que le costó US$1.500 millones a Snapchat http://bbc.in/2HFcgAV pic.twitter.com/OBz0eBijdS,2018-02-23 15:59:07,[''],[''],,5,5,967187094874488833,https://twitter.com/bbcmundo/status/967187094874488833
TamburelloDario,"Subito dopo il tweet di # KylieJenner, le azioni di # Snapchat hanno iniziato a scendere, e sono calate del 6%. # DarioTamburello # InstaGroundhttps://twitter.com/socialmedia2day/status/967145850915889154 …",2018-02-23 15:59:06,[''],"[u'KylieJenner', u'Snapchat', u'DarioTamburello', u'InstaGroundhttps']",,0,4,967187092563529733,https://twitter.com/TamburelloDario/status/967187092563529733
rosaontherocks,"Snapchat, please stop updating",2018-02-23 15:59:04,[''],[''],,0,1,967187082924802048,https://twitter.com/rosaontherocks/status/967187082924802048
BeeLaJewel,I really don't even fw Snapchat no more.,2018-02-23 15:59:04,[''],[''],,3,0,967187080790016002,https://twitter.com/BeeLaJewel/status/967187080790016002
haileym_7,My Snapchat updated today,2018-02-23 15:59:04,[''],[''],,2,6,967187080718688256,https://twitter.com/haileym_7/status/967187080718688256
mo_osif,# سهيله_بن_لشهب # ليك_منوليش https://youtu.be/HL2sw7fGuw8 # snapchat souhilasaho.94b # Loops Souhila Ben Lachhab ID : 1165532 # Instagram https://www.instagram.com/souhilaofficial/ … # Facebook https://www.facebook.com/SuhilaBnLachhab/ … # SouhilaBenLachhab # Algerie # Lik_Manwalich_10Mpic.twitter.com/f2cTYJoMAs,2018-02-23 15:58:59,[''],"[u'', u'snapchat', u'Loops', u'Instagram', u'Facebook', u'SouhilaBenLachhab', u'Algerie', u'Lik_Manwalich_10Mpic']",,32,41,967187060091248640,https://twitter.com/mo_osif/status/967187060091248640
debbiediscovers,"With 1 Tweet, Kylie Jenner Cut $1.3 Billion From Snapchat. Here's the Explanation Everyone's Missing... https://buff.ly/2EQatHI  via @ BillMurphyJr (I still think some hedge fund who was short SNAP stock paid her...)",2018-02-23 15:58:54,[u'BillMurphyJr'],[''],,1,2,967187039362875392,https://twitter.com/debbiediscovers/status/967187039362875392
hello_im_fresh,"Animated Stories Kit // Instagram, Snapchat, Facebook Download: https://goo.gl/eVCFB6 http://youtu.be/GS7lA_3It9M?a",2018-02-23 15:58:54,[''],[''],,0,0,967187038427582464,https://twitter.com/hello_im_fresh/status/967187038427582464
christianesola,"Snapchat: “Hm, people don’t seem to like our new update” Uber: “hold my beer” https://twitter.com/fox2news/status/967168895210663936 …",2018-02-23 15:58:52,[''],[''],,4,33,967187030483533824,https://twitter.com/christianesola/status/967187030483533824
briana_kidd,My fucking Snapchat updated,2018-02-23 15:58:51,[''],[''],,0,0,967187027966951425,https://twitter.com/briana_kidd/status/967187027966951425
hello_im_fresh,"I added a video to a @ YouTube playlist http://youtu.be/GS7lA_3It9M?a  Animated Stories Kit // Instagram, Snapchat, Facebook",2018-02-23 15:58:51,[u'YouTube'],[''],,0,0,967187027673444353,https://twitter.com/hello_im_fresh/status/967187027673444353
justinhosang,Thought this day would never come but my Snapchat finally updated itself to the newest version,2018-02-23 15:58:48,[''],[''],,0,2,967187015140872192,https://twitter.com/justinhosang/status/967187015140872192
yatzary_espino,Awwwwww cute picture of you two,2018-02-23 15:58:48,[''],[''],,0,1,967187014843060225,https://twitter.com/yatzary_espino/status/967187014843060225
farahherzallah,بتصير جوا ال snapchat لما تكون بدك تعمل screenshot لسناب بس بتطلع قصيرة و ما بتلحق فبتعمل screenshot على الي بعدهاا بالغلط,2018-02-23 15:58:47,[''],[''],,0,0,967187012666183680,https://twitter.com/farahherzallah/status/967187012666183680
_norial_,My Snapchat updated today pic.twitter.com/18NYdP30Bk,2018-02-23 15:58:42,[''],[''],,0,0,967186990801223681,https://twitter.com/_norial_/status/967186990801223681
adibouzer,"Les gens qui mendient des likes sur snapchat pour leurs photos insta, elle est passée où votre estime de soi? mdrr",2018-02-23 15:58:42,[''],[''],,0,0,967186988414722048,https://twitter.com/adibouzer/status/967186988414722048
abu_lotfi01,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:58:41,[''],[''],,0,0,967186987211001857,https://twitter.com/abu_lotfi01/status/967186987211001857
