text,date,retweets,favorites,negative,neutral,positive,compound
I either need to remember to screenshot photos of me and pals on snapchat or actually remember to take my own,2018-02-25 15:54:36,0,0,0.0,1.0,0.0,0.0
Snapchat - olivia_goldiex,2018-02-25 15:54:30,1,1,0.0,1.0,0.0,0.0
Só o que me faltava minha mãe no snapchat,2018-02-25 15:54:28,0,4,0.239,0.761,0.0,-0.296
"me: glances at feed me: “idk why there’s a dick pic on snapchat but okay” me, seconds later: “Oh” pic.twitter.com/ExNMgAyT5v",2018-02-25 15:54:26,0,3,0.107,0.893,0.0,-0.2846
I have Snapchat but no friends,2018-02-25 15:54:14,0,0,0.281,0.302,0.417,0.3291
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:54:11,0,0,0.0,0.75,0.25,0.6514
I seen the same snaps over and over again @ Snapchat,2018-02-25 15:54:10,0,0,0.0,1.0,0.0,0.0
Petition to stop people uploading shite snapchat filters on instagram please,2018-02-25 15:54:06,2,15,0.163,0.667,0.17,0.0258
Gunna be firing up the # stream again soon. # Snapchat audreysforthsn pic.twitter.com/UKMOQ4Sf6O,2018-02-25 15:53:57,0,2,0.194,0.806,0.0,-0.34
& All now I’m still lost when i open snapchat because of this upda... i mean downgrade. Kmt,2018-02-25 15:53:52,0,0,0.141,0.859,0.0,-0.3182
Does anyone else keep accidentalLY DELETING THE TEXT ON SNAPCHAT,2018-02-25 15:53:51,0,2,0.211,0.789,0.0,-0.34
And people are fake their is no true people in this world these days not even your best friend their is no point trusting people because you don't know what would happen,2018-02-25 15:53:48,0,0,0.244,0.561,0.195,-0.2887
"this reminds me of when my friend and i got arrested and the cops didn’t take my friend’s phone before putting us in the back of the van, and my friend pulled their phone out and posted on snapchat https://twitter.com/shadesof666/status/967596326438531072 …",2018-02-25 15:53:40,0,24,0.068,0.791,0.141,0.5106
@ Flankxr your snapchat has been found https://twitter.com/emmaafritzz/status/967427388534648832 …,2018-02-25 15:53:35,0,2,0.0,1.0,0.0,0.0
"Dear @ Snap @ Snapchat @ snapchatsupport , do us favor and reverse that update. I have resorted to taking my revered antics to IG and FB stories. I NEVER used those stories until that update. That update is weak as fuck. Snapchat used to have have cult status. Now its just wack bro",2018-02-25 15:53:31,0,1,0.11,0.741,0.148,0.296
when the snapchat filter comes off pic.twitter.com/a3j5oIUOSB,2018-02-25 15:53:30,1,8,0.0,1.0,0.0,0.0
"Snapchat is so annoying now and if it wasn’t for the streaks I currently have, I would’ve deleted it instagram is so much better imo",2018-02-25 15:53:17,6,64,0.126,0.759,0.115,-0.0805
I just learned Snapchat and now they changed it and I am so confused. I tried sliding the bar didn’t eork,2018-02-25 15:52:57,0,1,0.15,0.85,0.0,-0.4572
snapchat story boys,2018-02-25 15:52:44,0,0,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:52:02,0,0,0.0,0.75,0.25,0.6514
when you’re so ugly that snapchat breaks when you’re tryna be cute pic.twitter.com/yBOMFERCSk,2018-02-25 15:51:50,0,1,0.233,0.603,0.164,-0.3052
Relationship goals is having a Snapchat filter that’s “yours” instead of a song,2018-02-25 15:51:46,0,4,0.0,1.0,0.0,0.0
Yeah I thought sc is Snapchat,2018-02-25 15:51:45,1,8,0.0,0.645,0.355,0.296
"SOCIAL MEDIA: Instagram: mcunicornfish, YouTube: kvrstxnn, Snapchat: mcunicornfish",2018-02-25 15:51:37,0,0,0.0,1.0,0.0,0.0
# funny # drugs # haha # fuck # anything # bayarea # california # snapchat #@ # gay # drinking # now # hitspic.twitter.com/l0IMXFao6t,2018-02-25 15:51:34,0,0,0.18,0.515,0.304,0.34
Add me on Snapchat! Username: jjacoby4431 https://www.snapchat.com/add/jjacoby4431,2018-02-25 15:51:27,0,0,0.0,1.0,0.0,0.0
Born after 2003: Facebook Twitter iPhone iPad Android YouTube AWS Apple App Store Tesla Uber Airbnb Blockchain Bitcoin Square Stripe Spotify Instagram Snapchat WhatsApp Pinterest Kickstarter Messenger Quora Tumblr HubSpot Hulu Box Nest Fitbit Oculus Dropbox Kindle 4G,2018-02-25 15:51:11,0,2,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:51:10,0,0,0.0,0.75,0.25,0.6514
Que risas con el nuevo filtro de # Snapchat jajaja el conejito bailando,2018-02-25 15:51:02,0,1,0.0,1.0,0.0,0.0
just cause i dont post often on snapchat or instagram doesnt mean im not on social media have u seen my twitter account bitch,2018-02-25 15:50:58,0,0,0.153,0.847,0.0,-0.5859
I haven’t been on SnapChat in weeks only to find a trash ass update. How the hell do you watch stories? I’m so confused...,2018-02-25 15:50:51,0,2,0.288,0.712,0.0,-0.8442
@ Snapchat fix up at least give us an option bih I do not like your update Why you lot ignoring the people! Acting like a corrupt government,2018-02-25 15:50:46,0,0,0.247,0.753,0.0,-0.7361
This cat definitely asked me I wanted to buy her private Snapchat with an amazon wishlist link in the replies https://twitter.com/scottishfoids/status/967362474314993665 …,2018-02-25 15:50:42,4,16,0.0,0.804,0.196,0.5267
On snapchat where you deleted me because you didnt want to face your problems,2018-02-25 15:50:41,0,0,0.246,0.754,0.0,-0.4445
"@ Snapchat y’all big time losers, adding stories to my feed. Smh y’all know damn well I don’t follow nascar",2018-02-25 15:50:39,0,0,0.343,0.571,0.086,-0.743
People on my Snapchat enjoyed this so here ya go twitter pic.twitter.com/V5ygVuPefi,2018-02-25 15:50:31,1,4,0.0,0.769,0.231,0.5106
I think it’s gonna die in the same grave Snapchat soon. Along with a bunch of ppl that can’t give them up... in the same grave. Lol,2018-02-25 15:50:16,0,1,0.277,0.638,0.085,-0.743
"Snapchat's controversial redesign is here to stay, CEO Evan Spiegel says http://twib.in/l/kakzdeRrB6eL  pic.twitter.com/6yimNQNzbA http://twib.in/l/A5aqKoe8eeME  via @ businesspic.twitter.com/anXbTn0Rdc",2018-02-25 15:50:06,0,0,0.114,0.886,0.0,-0.2023
Facebook connected us Twitter woke us Instagram gave us confidence MySpace started it all Snapchat gave us disappearing and/or unsolicited nudes and the most annoying update of all time,2018-02-25 15:49:53,0,4,0.09,0.811,0.099,0.079
I hate # Snapchat now... change it back,2018-02-25 15:49:45,0,2,0.425,0.575,0.0,-0.5719
Everyday my brother posting food or some new shit on Snapchat and I’m sick of it!!!,2018-02-25 15:49:44,0,0,0.357,0.643,0.0,-0.8306
Just love a Snapchat filter https://www.instagram.com/p/Bfou7-EBW3_G2icnyntcCe6BWWERxB0Ed-8Cs80/ …,2018-02-25 15:49:43,0,0,0.0,0.488,0.512,0.6369
Snapchat is on FIRE right now as the hottest social media app for 2016!! http://bit.ly/22yd2lE # homebusiness # mlmpic.twitter.com/c1sA7K7E01,2018-02-25 15:49:27,0,0,0.189,0.811,0.0,-0.5743
Why the recent @ Snapchat update so fuckin stupid?,2018-02-25 15:49:07,0,0,0.344,0.656,0.0,-0.5688
Sdds falido @ Snapchat pic.twitter.com/3eJZPU1W9F,2018-02-25 15:48:35,0,0,0.0,1.0,0.0,0.0
"Una semana después, la necesidad de tener espectadores que me explotaran diariamente la bandeja de mensajes con (falsos) halagos me llevó a crear una cuenta en Snapchat. Allí no sólo intercambié fotos (rigiéndome por un “screenshot = block”): también practiqué el sexting. pic.twitter.com/sXq3kltV9H",2018-02-25 15:48:35,0,4,0.052,0.948,0.0,-0.296
"Pues si !! Y yo os agradezco que los subais por aquí, pq yo no uso Snapchat y gracias a vosotras veo los snap que publica Alain ...gracias!!!!",2018-02-25 15:48:28,0,3,0.123,0.877,0.0,-0.5216
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:48:23,0,0,0.0,0.75,0.25,0.6514
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:47:57,0,0,0.0,0.75,0.25,0.6514
Was Snapchat actually Lily smh,2018-02-25 15:47:48,0,1,0.365,0.635,0.0,-0.3182
My Snapchat didn’t update on my iPad! I am so happy,2018-02-25 15:47:46,0,0,0.0,0.641,0.359,0.7213
throw back to when snap chat was actually good,2018-02-25 15:47:39,0,5,0.0,0.734,0.266,0.4404
I would even email snapchat if I needed to for my lil Debbie https://twitter.com/graberliz/status/967889223578804226 …,2018-02-25 15:47:34,0,2,0.0,1.0,0.0,0.0
Right how much does this remind you of me being absolutely blottoed in subby z but as soon as u pull that camera I’m ready for your snapchat to be blessed with my drunken beauty,2018-02-25 15:47:17,0,0,0.0,0.685,0.315,0.9413
"RT TheAnimalVines: Add “bestofanimals” on snapchat and send in your pets to be seen by over 700,000 people pic.twitter.com/3pPDIZGUUR",2018-02-25 15:47:13,0,0,0.0,1.0,0.0,0.0
"My Snapchat finally updated, and it’s really not that bad.",2018-02-25 15:46:48,0,0,0.0,0.743,0.257,0.4791
My coworkers created a group Snapchat,2018-02-25 15:46:46,1,2,0.0,0.667,0.333,0.25
Because of this new fucking @ Snapchat update ive lost 2 streaks due to not seeing that i had the people as a streak. They have the friends list organized so people with stories are above people with streaks. No wonder 2+ million people want this update reverted,2018-02-25 15:46:46,0,1,0.092,0.818,0.09,-0.0258
Y’all only getting posted on Snapchat cus it’s hard to find people’s stories these niggas getting smart,2018-02-25 15:46:42,0,0,0.185,0.683,0.132,-0.0258
@ Snapchat I’m actually getting so fed up with this update. Can you guys change it? I don’t think there one person who likes this shit,2018-02-25 15:46:32,0,0,0.146,0.757,0.096,-0.3506
Snapchat streaks are a scam,2018-02-25 15:46:22,0,0,0.552,0.448,0.0,-0.5719
"Snapchat Secrets Guaranteed to Build Your Brand, Get More Customers and Grow YOUR Business http://bit.ly/1TkpKzs pic.twitter.com/Gahjl5fVsA",2018-02-25 15:46:16,0,0,0.0,1.0,0.0,0.0
snapchat having a mid life crisis,2018-02-25 15:46:16,1,0,0.506,0.494,0.0,-0.6249
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:46:13,0,0,0.0,0.75,0.25,0.6514
Snapchat passa a oferecer integração com GIPHY e prepara mais novidades http://ift.tt/2BS0F1f,2018-02-25 15:46:10,0,0,0.0,1.0,0.0,0.0
Why did pay 5 dollars to see Mr. WHS when I could have just watched it on Snapchat?,2018-02-25 15:46:10,0,6,0.085,0.915,0.0,-0.1027
Snapchat passa a oferecer integração com GIPHY e prepara mais novidades http://bit.ly/2BNFfSN,2018-02-25 15:46:04,0,0,0.0,1.0,0.0,0.0
I tend to slack on snap chat. Bitches always talking shit and it’s always the people that claim they love sky or act like they play a part in her life,2018-02-25 15:45:43,0,2,0.185,0.591,0.224,0.1531
I’m stead of adding all kinds of people from all over the world on Snapchat. I choose a country’s and click those blue worbs. People be WILDING!!!!,2018-02-25 15:45:43,0,0,0.0,1.0,0.0,0.0
The problem with telling everyone i meet to add me on snapchat ( @ annathevera) is Im always watching random strangers’ stories trying to figure out who they are,2018-02-25 15:45:39,0,4,0.097,0.903,0.0,-0.4019
the snapchat update is whack and i hate it but i think that’s everyone,2018-02-25 15:45:33,1,9,0.176,0.824,0.0,-0.3291
Redes Sociais do AmigoDoDog. ✓Redes Sociais: ●Twitter: https://goo.gl/nqlx0O  ●Instagram: https://goo.gl/A24FbS  ●SnapChat: amigododog,2018-02-25 15:45:28,0,0,0.0,1.0,0.0,0.0
It’s from snapchat,2018-02-25 15:45:27,1,2,0.0,1.0,0.0,0.0
RT: @ cnnee :El tuit de Kylie Jenner que provocó un derrumbe de las acciones de Snapchat http://cnn.it/2EN5BHn pic.twitter.com/YffabBelBB,2018-02-25 15:45:23,0,0,0.0,1.0,0.0,0.0
# snapchat https://www.instagram.com/p/Bfo3o36D2kYz6L1XafOONYnwbaiXnlqxNgvoQs0/ …,2018-02-25 15:45:19,0,0,0.0,1.0,0.0,0.0
Snapchat even had a video showing you how to work the new update,2018-02-25 15:45:12,0,5,0.0,1.0,0.0,0.0
# Snapchat # snapfilter # sarahhayward212 # selfie # filterpic.twitter.com/kaxWxiwnYp,2018-02-25 15:45:07,0,0,0.0,1.0,0.0,0.0
"I'm just interested in the Snapchat actually, that's my goal lmao I'm signed up but just have not the money right now. Cheers!",2018-02-25 15:45:07,0,1,0.0,0.696,0.304,0.829
