text,date,retweets,favorites,negative,neutral,positive,compound
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:56,0,0,0.0,0.75,0.25,0.6514
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:55,0,0,0.0,0.75,0.25,0.6514
Vuelve el perro arrepentido con snapchat,2018-02-23 15:59:54,0,0,0.0,1.0,0.0,0.0
"Snapchat found dead, Instagram is throwing a party https://twitter.com/kyliejenner/status/966429897118728192 …",2018-02-23 15:59:48,0,13,0.331,0.462,0.208,-0.3818
smhh snapchat dead updated on its own in my phone,2018-02-23 15:59:46,0,0,0.323,0.677,0.0,-0.6486
Someone explain to me why my little cousin (she’s 13) just sent me a snapchat saying “I’m gonna be a Virgin until I’m 60” I’m disgusted,2018-02-23 15:59:46,0,1,0.129,0.871,0.0,-0.5267
so my brother won £200 on a pub quiz last night and I check snapchat and he’s decided to go to Amsterdam. Wish I had that lifestyle,2018-02-23 15:59:45,0,14,0.0,0.768,0.232,0.7693
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:44,0,0,0.0,0.75,0.25,0.6514
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:44,0,0,0.0,0.75,0.25,0.6514
Buying Snapchat accounts dm,2018-02-23 15:59:44,1,0,0.0,1.0,0.0,0.0
@ CG_Febiven do u still use snapchat ! ! !,2018-02-23 15:59:43,0,0,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-23 15:59:41,0,0,0.0,0.75,0.25,0.6514
So I’m snapping a friend and she responded to me and the minute I open her snap someone else snapped me and my Snapchat format changed to the new update,2018-02-23 15:59:40,0,4,0.0,0.886,0.114,0.5367
Snapchat is so lame now deadass I be ready to fight,2018-02-23 15:59:40,1,2,0.396,0.445,0.159,-0.5742
Held on to the old snapchat for as long as I could but it finally updated itself :(((,2018-02-23 15:59:40,0,0,0.0,1.0,0.0,0.0
