username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
ejohnson2102,New post (Why United Airlines has got into a flap over a peacock) has been published on Leggings Are Pants - http://leggingsarepants.org/news/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …,2018-02-03 15:59:36,[''],[''],,0,0,959939457255264256,https://twitter.com/ejohnson2102/status/959939457255264256
melissaahechte,New post (Why United Airlines has got into a flap over a peacock) has been published on Leggings Are Pants - http://leggingsarepants.org/news/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …,2018-02-03 15:59:33,[''],[''],,0,0,959939447335763968,https://twitter.com/melissaahechte/status/959939447335763968
KarenRafdmsey,New post (Why United Airlines has got into a flap over a peacock) has been published on Leggings Are Pants - http://leggingsarepants.org/news/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …,2018-02-03 15:59:29,[''],[''],,0,0,959939430889938945,https://twitter.com/KarenRafdmsey/status/959939430889938945
dawnsierram,New post (Why United Airlines has got into a flap over a peacock) has been published on Leggings Are Pants - http://leggingsarepants.org/news/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …,2018-02-03 15:59:25,[''],[''],,0,0,959939413923934208,https://twitter.com/dawnsierram/status/959939413923934208
benjaemma567,New post (Why United Airlines has got into a flap over a peacock) has been published on Leggings Are Pants - http://leggingsarepants.org/news/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …,2018-02-03 15:59:21,[''],[''],,0,0,959939394982432768,https://twitter.com/benjaemma567/status/959939394982432768
theodarehazel,New post (Why United Airlines has got into a flap over a peacock) has been published on Leggings Are Pants - http://leggingsarepants.org/news/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …,2018-02-03 15:59:08,[''],[''],,0,0,959939342213963776,https://twitter.com/theodarehazel/status/959939342213963776
jackauro3,New post (Why United Airlines has got into a flap over a peacock) has been published on Leggings Are Pants - http://leggingsarepants.org/news/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …,2018-02-03 15:58:45,[''],[''],,0,0,959939244113276928,https://twitter.com/jackauro3/status/959939244113276928
SilasArabella,New post (Why United Airlines has got into a flap over a peacock) has been published on Leggings Are Pants - http://leggingsarepants.org/news/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …,2018-02-03 15:58:41,[''],[''],,0,0,959939230179848192,https://twitter.com/SilasArabella/status/959939230179848192
milomaal222,New post (Why United Airlines has got into a flap over a peacock) has been published on Leggings Are Pants - http://leggingsarepants.org/news/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …,2018-02-03 15:58:38,[''],[''],,0,0,959939213796917248,https://twitter.com/milomaal222/status/959939213796917248
ezraoliv6,New post (Why United Airlines has got into a flap over a peacock) has been published on Leggings Are Pants - http://leggingsarepants.org/news/why-united-airlines-has-got-into-a-flap-over-a-peacock/ …,2018-02-03 15:58:30,[''],[''],,0,0,959939182062792704,https://twitter.com/ezraoliv6/status/959939182062792704
chutneyboy,"You offer a fare, I click on purchase button, you refuse to provide ticket. That is simply dishonest. You obviously thought it was available. Please solve the problem.",2018-02-03 15:58:17,[''],[''],,0,0,959939128849608705,https://twitter.com/chutneyboy/status/959939128849608705
