username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
yelcard,"Footie pundit Trevor Sinclair selling Tesla sports car after drink driving ban: The ex-England international, .. http://dld.bz/gATRQ",2018-02-08 15:59:54,[''],[''],,0,0,961751472072470528,https://twitter.com/yelcard/status/961751472072470528
RoigAndy,Será cierto?,2018-02-08 15:59:48,[''],[''],,0,0,961751447418191874,https://twitter.com/RoigAndy/status/961751447418191874
InquisitrFunny,Elon Musk's Space Tesla Still Positioned For Mind-Blowing Fate Despite Overshooting Asteroid Belt - http://inq.cm/1pgy,2018-02-08 15:59:47,[''],[''],,0,0,961751445690253313,https://twitter.com/InquisitrFunny/status/961751445690253313
Johnfoofarrell,You're thinking a Tesla on Mars is cute. Then you realise it doesn't need to consume air like a normal car. pic.twitter.com/zp5LDVisnC,2018-02-08 15:59:44,[''],[''],,0,1,961751431102550016,https://twitter.com/Johnfoofarrell/status/961751431102550016
Fohawkkid,"This is the third time my model 3 has been delayed, maybe it’s the one they launched lol @ Tesla @ elonmuskpic.twitter.com/r3ZWLogcbh",2018-02-08 15:59:43,"[u'Tesla', u'elonmuskpic']",[''],,0,1,961751428522950656,https://twitter.com/Fohawkkid/status/961751428522950656
texnomaniya,# Космос «Роскосмос» посчитал запуск Falcon Heavy рекламой Tesla http://texnomaniya.ru/roskosmos-poschital-zapusk-Falcon-Heavy-reklamoiy-Tesla …pic.twitter.com/j9KY0tEFLD,2018-02-08 15:59:42,[''],[u''],,0,0,961751422512615425,https://twitter.com/texnomaniya/status/961751422512615425
nodesyn,Tesla Burns Through $2 Billion In 2017 http://bit.ly/2GZSdwQ,2018-02-08 15:59:41,[''],[''],,0,0,961751417630482432,https://twitter.com/nodesyn/status/961751417630482432
nycityadchick,"am I the only one confused by tesla? legit query. just made YouTube history, so brand awareness is thru-the-roof - but. ""money-losing tesla's long-term viability depends on annually selling billions of dollars of model 3's..."" (Car starts at 35k.)",2018-02-08 15:59:35,[''],[''],,0,0,961751394461110273,https://twitter.com/nycityadchick/status/961751394461110273
da_man50,NASA Has Officially Listed Musk&#39;s Tesla Roadster As a Celestial Object https://gizmodo.com/nasa-has-officially-listed-musks-tesla-roadster-as-a-ce-1822843923about:invalid#zSoyz … This makes me smile,2018-02-08 15:59:34,[''],[''],,0,0,961751390937894912,https://twitter.com/da_man50/status/961751390937894912
laoluGlobal,"Lifestyle: Someone spotted a Tesla Semi on a public road, but what's it doing? http://twib.in/l/MzRdrpxE7q67 # Laoluexpress # We-inform # LE-updates",2018-02-08 15:59:34,[''],"[u'Laoluexpress', u'We', u'LE']",,0,0,961751388752633856,https://twitter.com/laoluGlobal/status/961751388752633856
P_RecoRecy,# Smart mobility city # Berlin? Our next generation shows the way forward! Zweirad statt Allrad! @ bmub @ TSBBerlin @ visitberlin @ isleutilities @ BMVI @ FahrradClub @ infralabberlin @ Umweltbundesamt @ Tesla @ GrueneBundestag @ VWGroup @ BMW @ GM @ ADAC @ MercedesBenz @ CSUpic.twitter.com/OZOM7dFD6F,2018-02-08 15:59:32,"['bmub', 'TSBBerlin', 'visitberlin', 'isleutilities', 'BMVI', 'FahrradClub', 'infralabberlin', 'Umweltbundesamt', 'Tesla', 'GrueneBundestag', 'VWGroup', 'BMW', 'GM', 'ADAC', 'MercedesBenz', 'CSUpic']","['Smart', 'Berlin']",,0,1,961751379537727488,https://twitter.com/P_RecoRecy/status/961751379537727488
madisinclairrrr,the dummy in the tesla when the world ends pic.twitter.com/lUlc8qNXq5,2018-02-08 15:59:31,[''],[''],,0,1,961751376954085377,https://twitter.com/madisinclairrrr/status/961751376954085377
