username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
united,Our Maintenance team is working to have you on your way as soon as possible. Thank you for your patience. ^MD,2018-02-04 15:58:21,[''],[''],,0,0,960301534079680513,https://twitter.com/united/status/960301534079680513
united,We feel your frustration entirely and apologize for the missed connection. Please DM us your confirmation number if we can help with rebooking. ^ADhttps://twitter.com/messages/compose?recipient_id=260907612 …,2018-02-04 15:58:02,[''],[''],,0,0,960301450663374848,https://twitter.com/united/status/960301450663374848
mclanestringer,yes @ united!!!! delay a flight that is already almost 2 hours late so you can let unnecessary crew members on!!! great idea!!!!!!,2018-02-04 15:57:37,['united'],[''],,0,9,960301347504574464,https://twitter.com/mclanestringer/status/960301347504574464
united,Woo! We see you've pulled away from the gate now. Let's get you to Toronto. ^AD,2018-02-04 15:57:10,[''],[''],,0,1,960301232899239941,https://twitter.com/united/status/960301232899239941
9jafuture,4822........ now going on a 5hr delay with no updates besides maintenance and @ United refuses to cancel the flight and bring in another plane for passengers,2018-02-04 15:56:53,['United'],[''],,0,0,960301165203386368,https://twitter.com/9jafuture/status/960301165203386368
TriviumPaolo,Elitist,2018-02-04 15:56:32,[''],[''],,0,0,960301073566175232,https://twitter.com/TriviumPaolo/status/960301073566175232
teamoncology,Going home to Houston by @ united from # SanDiego. I will miss this beautiful weather.pic.twitter.com/ofP5eiAFJx,2018-02-04 15:56:21,['united'],['SanDiego'],,0,3,960301029081333761,https://twitter.com/teamoncology/status/960301029081333761
REDSKYMETAL,No sauerkraut? No onions? No pickled peppers?! Just eat that tubed meat penis in shame.,2018-02-04 15:55:31,[''],[''],,0,0,960300819819192321,https://twitter.com/REDSKYMETAL/status/960300819819192321
AT1ST,United Airlines would probably take that to be a challenge.,2018-02-04 15:55:26,[''],[''],,0,0,960300796553314304,https://twitter.com/AT1ST/status/960300796553314304
NEPatriots92,Ketchup on a Chicago dog?,2018-02-04 15:55:16,[''],[''],,0,0,960300756619362304,https://twitter.com/NEPatriots92/status/960300756619362304
united,"Hello, what is your flight number? ^MD",2018-02-04 15:55:03,[''],[''],,0,0,960300700440788993,https://twitter.com/united/status/960300700440788993
CarloselTigre24,Oh no!,2018-02-04 15:53:32,[''],[''],,0,0,960300318629167111,https://twitter.com/CarloselTigre24/status/960300318629167111
marauderstyle,@ united you guys seem to care more about a bag than a person. We could left the bag and everyone on the flight wouldve made their connecting flights.,2018-02-04 15:53:05,['united'],[''],,0,0,960300205202690048,https://twitter.com/marauderstyle/status/960300205202690048
jzembik,But hold on! Big win! This @ United flight has in-flight TV!! # LaGuardiaSuperBowlParty # SuperBowlpic.twitter.com/jZZwZIHZJG,2018-02-04 15:52:46,['United'],"['LaGuardiaSuperBowlParty', 'SuperBowlpic']",,0,0,960300128795090945,https://twitter.com/jzembik/status/960300128795090945
TriviumPaolo,pic.twitter.com/bRPskUP4VO,2018-02-04 15:52:16,[''],[''],,1,12,960299999723773952,https://twitter.com/TriviumPaolo/status/960299999723773952
J_Fish231,"Your employee Sig O from ASE has been extremely helpful in that regard, who deserves a pay raise for his outstanding patience and problem solving skills.... But I would appreciate a refund to or a match of ticket price to my foundation",2018-02-04 15:52:01,[''],[''],,0,0,960299939975843840,https://twitter.com/J_Fish231/status/960299939975843840
TriviumPaolo,Chicago Style: not being in the Super Bowl. # SuperBowl2018 @ united pic.twitter.com/Rq1l0k3x5Q,2018-02-04 15:51:59,['united'],['SuperBowl2018'],,2,10,960299930760957953,https://twitter.com/TriviumPaolo/status/960299930760957953
marauderstyle,@ united my plane just left the gate at 645 I've been here since 528 can someone please explain the logic of waiting on a bag for 40 mins in Munich but not letting a passenger on the plane?,2018-02-04 15:51:52,['united'],[''],,0,0,960299901426061312,https://twitter.com/marauderstyle/status/960299901426061312
ajmaravilla,Sunset over Georgia on @ united 1261 # windowview # sneakapic # airplanewindow # avgeek # row3 # ua1261pic.twitter.com/Cdt7c6l1mK,2018-02-04 15:51:33,['united'],"['windowview', 'sneakapic', 'airplanewindow', 'avgeek', 'row3', 'ua1261pic']",,0,0,960299819737731072,https://twitter.com/ajmaravilla/status/960299819737731072
AyyeeJerm94,How am I supposed the steam the super bowl if this is yalls WiFi speed???? @ united pic.twitter.com/Rk1mHRfcsp,2018-02-04 15:51:29,['united'],[''],,1,1,960299804000600064,https://twitter.com/AyyeeJerm94/status/960299804000600064
united,"We see you're now on your way. Have a pleasant flight, Will. ^MD",2018-02-04 15:50:44,[''],[''],,0,0,960299616838168576,https://twitter.com/united/status/960299616838168576
YostBuilt,@ united Wanna be a friend and hold UA 1734 for a few minutes? I think there are six of us going to Madison on UA 1654. We're looking like we'll get there about 15 min before our connection leaves. Next flight to MSN isn't til noon tomorrow or something and wd prefer not to drive,2018-02-04 15:49:27,['united'],[''],,0,0,960299291247042560,https://twitter.com/YostBuilt/status/960299291247042560
AviationMedia,United # Airlines Cracking Down On Emotional Support Spouses - The Onion (satire) :http://fat.ly/4RQHr,2018-02-04 15:48:21,[''],[u'Airlines'],,0,0,960299014183821312,https://twitter.com/AviationMedia/status/960299014183821312
VC_watcher,"United Airlines Spent $69 Million on This Stadium Naming Deal, But They're Not … https://www.inc.com/bill-murphy-jr/united-airlines-paid-millions-to-put-its-name-on-this-stadium-but-heres-fine-print.html?cid=sf01001&sr_share=twitter …, see more http://tweetedtimes.com/v/1157?s=tnp",2018-02-04 15:48:03,[''],[''],,0,0,960298942260015104,https://twitter.com/VC_watcher/status/960298942260015104
angelohouston,@ united I checked with you guys multiple times. Flight 1501 was supposed to have DirecTV. You even emailed me with that notification. I could have easily taken a different flight and watched the Super Bowl. Thanks for screwing up yet again.,2018-02-04 15:47:50,['united'],[''],,0,0,960298885699850240,https://twitter.com/angelohouston/status/960298885699850240
pet1713,Hey @ TurkishAirlines your Super Bowl Ad dollars wasted on me...never fly you again..cc: @ united @ Delta,2018-02-04 15:47:38,"['TurkishAirlines', 'united', 'Delta']",[''],,0,0,960298835737276416,https://twitter.com/pet1713/status/960298835737276416
JamalDajani,. @ united flight 4077 delayed almost 2 hours for a missing flight attendant—unreal!,2018-02-04 15:45:31,[u'united'],[''],,0,2,960298301798035457,https://twitter.com/JamalDajani/status/960298301798035457
purdueturfy,Damn,2018-02-04 15:44:26,[''],[''],,0,0,960298028107272193,https://twitter.com/purdueturfy/status/960298028107272193
lisacrispin,aieeee,2018-02-04 15:44:07,[''],[''],,0,0,960297949291884544,https://twitter.com/lisacrispin/status/960297949291884544
LAReCouture,Check out United Airlines Uniform Dress Flight Attendant Aviation Collectible Size 8R https://www.ebay.com/ulk/itm/132359558996 … @ eBay,2018-02-04 15:42:55,[u'eBay'],[''],,0,0,960297648740642816,https://twitter.com/LAReCouture/status/960297648740642816
united,"We hope you enjoy the game, David! ^TP",2018-02-04 15:42:21,[''],[''],,0,1,960297504041418752,https://twitter.com/united/status/960297504041418752
scedmonds,2 hours. Not bad! I usually fly @ United but they’ve cut back flights in/out of Milwaukee.,2018-02-04 15:41:56,[u'United'],[''],,0,3,960297400874053632,https://twitter.com/scedmonds/status/960297400874053632
glccturfmec,Oh no!,2018-02-04 15:40:44,[''],[''],,0,0,960297100163665925,https://twitter.com/glccturfmec/status/960297100163665925
united,We apologize for the trouble our website is giving you. For our international contact options: http://bit.ly/1NvYTkT . ^AD,2018-02-04 15:39:59,[''],[''],,0,0,960296912208281600,https://twitter.com/united/status/960296912208281600
Foster_Child87,Thanks for the ride back home @ United. Got to experience @ BoeingAirplanes 787 once again. <3,2018-02-04 15:39:48,"['United', 'BoeingAirplanes']",[''],,0,0,960296862300356608,https://twitter.com/Foster_Child87/status/960296862300356608
trempy,@ United Darshi in Indianapolis was awesome though. Very helpful! She did a tremendous job in a very bad situation,2018-02-04 15:39:24,['United'],[''],,0,0,960296761586864128,https://twitter.com/trempy/status/960296761586864128
EanDaniels,Spending the night in Peoria. Thanks @ united,2018-02-04 15:38:10,['united'],[''],,0,4,960296452835733504,https://twitter.com/EanDaniels/status/960296452835733504
united,"You're most welcome. It's always a pleasure having you with us, AJ. Stay warm. ^KL",2018-02-04 15:37:53,[''],[''],,0,1,960296382677499904,https://twitter.com/united/status/960296382677499904
AviationMedia,No More Pigs or Peacocks: United # Airlines Cracks Down On 'Emotional Support Animal' Rules in New Policy - @ Newsweek :http://fat.ly/5xO7S,2018-02-04 15:35:21,[u'Newsweek'],[u'Airlines'],,0,0,960295744916746240,https://twitter.com/AviationMedia/status/960295744916746240
davidgtodd,I LOVE @ lufthansa / the super bowl is live on this flight. DEN 2 MUN @ staralliance @ united # flying # globalservices,2018-02-04 15:34:40,"['lufthansa', 'staralliance', 'united']","['flying', 'globalservices']",,0,1,960295570576306176,https://twitter.com/davidgtodd/status/960295570576306176
united,"We're sorry to leave you without updates, Wendy. Estimated departure is now 6:10 p.m. due to a late inbound aircraft. Your jet is in the air from MSP. It was delayed there due to Air Traffic Control holds. ^AD",2018-02-04 15:34:08,[''],[''],,0,0,960295438891929605,https://twitter.com/united/status/960295438891929605
BrazenLeader,"If @ united offered $100 bills to everyone, they'd still find a way to piss people off. # Leadershiphttp://flip.it/zuWNl0",2018-02-04 15:33:52,[u'united'],[u'Leadershiphttp'],,0,0,960295372332691457,https://twitter.com/BrazenLeader/status/960295372332691457
united,"Hey Anthony, what was your flight number today? Are you now at your destination? ^MD",2018-02-04 15:32:47,[''],[''],,0,0,960295096523485184,https://twitter.com/united/status/960295096523485184
marauderstyle,@ united this flight has literally been here an extra hour pass departure. Why exactly wouldn't they hold the doors for 10 more minutes ? pic.twitter.com/ms1tpjeWkw,2018-02-04 15:31:31,['united'],[''],,0,0,960294778591170560,https://twitter.com/marauderstyle/status/960294778591170560
tallspartanlaw,"@ united I want to give special recognition to flight attendant David who worked flight 1462 from th the Bahamas to Newark. My kids were having ""problems"" and he went out of his way to help get them settled.",2018-02-04 15:31:24,['united'],[''],,0,0,960294748618657792,https://twitter.com/tallspartanlaw/status/960294748618657792
