username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
needtobuild,I operated that type at MKE in the late 80’s. Looks interesting but it was a beast! Preventive Maintenance was not in the budget,2018-02-01 17:32:06,[''],[''],,0,0,959237961719132160,https://twitter.com/needtobuild/status/959237961719132160
JoaqinPneumonia,I think I just found religion with that landing @ united SHEEEESH,2018-02-01 17:32:00,['united'],[''],,0,0,959237937870311424,https://twitter.com/JoaqinPneumonia/status/959237937870311424
WillWillAFR,The story of Dexter the peacock and why he didn’t get an aisle seat @ united its policy for emotional-support animals. That peacock still can’t board. http://wapo.st/2nuXy6e?tid=ss_tw-amp …,2018-02-01 17:31:30,[u'united'],[''],,0,0,959237809780408320,https://twitter.com/WillWillAFR/status/959237809780408320
SecretFlying,"Detroit to Paris, France for only $419 roundtrip with @ united. http://www.secretflying.com/posts/summer-detroit-paris-france-411-roundtrip/ …pic.twitter.com/RPAnDR9mgW",2018-02-01 17:31:05,[u'united'],[''],,11,13,959237706554392576,https://twitter.com/SecretFlying/status/959237706554392576
ThewizardofPOS,"@ united lost my bag and delivered it 48 hours late, BROKE my bag, and now that I'm trying to get them to pay for a bag THEY broke, their customer service is THE worst possible service and I've been told a manager will ""call me back"" for 2 weeks now # unitedsucks",2018-02-01 17:30:06,['united'],['unitedsucks'],,0,0,959237458725605377,https://twitter.com/ThewizardofPOS/status/959237458725605377
BlindScottBos,Trust me United airlines does not care that it's a service dog they'll try to make it so we cannot get on the plane.,2018-02-01 17:30:02,[''],[''],,0,0,959237442078420993,https://twitter.com/BlindScottBos/status/959237442078420993
TruthIsKing2,"People that have uncaged animal needs to buy a airplane ticket for the animal and it can sit next to them. That will stop a lot of fraud vs shipping animal Following peacock fiasco, United Airlines tightens policy for comfort animals https://usat.ly/2E5TnIw  via @ USATODAY",2018-02-01 17:29:47,[u'USATODAY'],[''],,0,0,959237380074024961,https://twitter.com/TruthIsKing2/status/959237380074024961
lesposen,. @ united I can’t believe @ staralliance agree to this in MOUhttps://twitter.com/AirlineFlyer/status/959055305945550848 …,2018-02-01 17:29:39,"[u'united', u'staralliance']",[''],,0,0,959237345475158016,https://twitter.com/lesposen/status/959237345475158016
united,"It's been great flying with you so far, Peter. We can't wait for more adventures. ^AD",2018-02-01 17:29:19,[''],[''],,0,0,959237260859211776,https://twitter.com/united/status/959237260859211776
LaurenFierro2,This is the truth. I’m on day 27. No sign of my bag. No updates from @ united This is very upsetting. https://twitter.com/mmeblonde/status/956937550807076864 …,2018-02-01 17:28:34,[u'united'],[''],,0,0,959237071465517057,https://twitter.com/LaurenFierro2/status/959237071465517057
outsidemagazine,Now @ united is joining @ Delta in cracking down on ESAs. Here’s why that’s a good thing.https://twitter.com/indefinitewild/status/959228691757674496 …,2018-02-01 17:27:32,"[u'united', u'Delta']",[''],,7,33,959236811301122049,https://twitter.com/outsidemagazine/status/959236811301122049
Onenumlip,Here we go again @ AmericanAir! $400 spent on @ united for trip two. # thepriceofloyalty,2018-02-01 17:27:10,"['AmericanAir', 'united']",['thepriceofloyalty'],,0,0,959236719370489856,https://twitter.com/Onenumlip/status/959236719370489856
united,"Yes, that's correct. The new documentation requirements do not apply to service dogs. ^CW",2018-02-01 17:24:54,[''],[''],,0,3,959236150236860416,https://twitter.com/united/status/959236150236860416
jhpnola,@ united you are selling a product that doesn’t exist! Polaris is not fully fleshed out. Your own people know this! Stop the bait and switch! It’s deceptive. And tacky. Stop! Be honest with people before you take our $ !,2018-02-01 17:24:32,[u'united'],[''],,0,0,959236058398457856,https://twitter.com/jhpnola/status/959236058398457856
united,"One of the reasons this is required is to ensure your personal item is within the allowed dimensions to avoid the possibility of having to gate check it, which would incur an additional service fee. We regret any inconvenience this may cause, Mr. VanHorn. ^KL",2018-02-01 17:24:15,[''],[''],,0,0,959235987434950656,https://twitter.com/united/status/959235987434950656
only1jenerator,@ UnitedAirlines forces to check bags # binsnotfull. payed for WiFi # stillcantwatchmystories # iwantmy11dollars,2018-02-01 17:23:57,['UnitedAirlines'],"['binsnotfull', 'stillcantwatchmystories', 'iwantmy11dollars']",,0,1,959235909987188736,https://twitter.com/only1jenerator/status/959235909987188736
servicedogfp,It's about time! New Barking Orders For Documenting Support Animals Before Boarding Planes https://n.pr/2FBwY34 # FakeServiceDogs # ServiceDogs # dogs # UnitedAirlines # Pets # ESA,2018-02-01 17:23:17,[''],"[u'FakeServiceDogs', u'ServiceDogs', u'dogs', u'UnitedAirlines', u'Pets', u'ESA']",,0,0,959235741011316736,https://twitter.com/servicedogfp/status/959235741011316736
united,"Hi Min, sorry for our late response. We completely understand the need for last minute travel plans. We're here to work with our passengers with emotional support animals on a case-by-case basis for these unforeseen circumstances, much like our ESAN process today. ^AD",2018-02-01 17:23:11,[''],[''],,0,0,959235719007952896,https://twitter.com/united/status/959235719007952896
kyle_hyman,"So @ united is blaming air traffic control, is stuck in Houston and they won’t pay for a hotel. # awesome",2018-02-01 17:23:09,[u'united'],[u'awesome'],,0,0,959235710938157061,https://twitter.com/kyle_hyman/status/959235710938157061
Nuk3dawg,Skybird...this is Looking Glass Prepare to copy Whiskey Tango Foxtrot Standby Oscar Hotel Yankee Oscar Uniform Echo India Golf Hotel Tango Oscar November Echo Tango Whiskey Oscar Looking Glass Out,2018-02-01 17:23:06,[''],[''],,0,0,959235698158133248,https://twitter.com/Nuk3dawg/status/959235698158133248
mattsebastian,I'd been unaware of @ united's no-hedgehog rule. http://on.wsj.com/2ExQ5M6 pic.twitter.com/omZxpO0cd5,2018-02-01 17:21:55,[u'united'],[''],,0,0,959235397493579776,https://twitter.com/mattsebastian/status/959235397493579776
ranasoz,"# juevesdeldatoturisticoquetevalemadres United Vacations combina las mejores tarifas de United Airlines con ofertas en hoteles (la idea, mas economicos a EUA) http://topmanagement.com.mx/united-airlines-alianza-best-day-travel-group-bd-travelsolution-lanzo-united-vacations/ …",2018-02-01 17:21:24,[''],[u'juevesdeldatoturisticoquetevalemadres'],,0,0,959235268405612545,https://twitter.com/ranasoz/status/959235268405612545
andnowsheisnot,"Dear @ United just give these people a damn teddy bear. These animals may provide comfort but the experience could well be traumatizing to the animals, besides being unpredictable, unhygenic and annoying to others who have to share a small confined space,and use their seats after",2018-02-01 17:21:22,['United'],[''],,0,0,959235261833003008,https://twitter.com/andnowsheisnot/status/959235261833003008
atogre_cohen,Yeah probably,2018-02-01 17:21:13,[''],[''],,0,0,959235224096866304,https://twitter.com/atogre_cohen/status/959235224096866304
EyeoftheStormZ,"It’s under $600, prob won’t get one...",2018-02-01 17:19:51,[''],[''],,0,0,959234877710356480,https://twitter.com/EyeoftheStormZ/status/959234877710356480
DRGirlsHoops,Asst Coach Ward participated in ground breaking for USC’s United Airlines Memorial Coliseum’s ground breaking due her accomplishments as a past bball player at USC&UA pilot! We R blessed to have her as a role model in our program! @ USC_Athletics @ JeffcoAthletics @ DRHS_Athleticshttps://twitter.com/usc_athletics/status/958128336974135296 …,2018-02-01 17:19:37,"[u'USC_Athletics', u'JeffcoAthletics', u'DRHS_Athleticshttps']",[''],,3,14,959234820315299840,https://twitter.com/DRGirlsHoops/status/959234820315299840
atogre_cohen,Just wait for the 1099. Then u can go full ballistic on them,2018-02-01 17:19:06,[''],[''],,0,0,959234689423769600,https://twitter.com/atogre_cohen/status/959234689423769600
LindsayTAdkins,Oh thanks much @ united for detailed info! # unitedfailsagain # notsurprised # unitedsuckspic.twitter.com/rVooPhdxMc,2018-02-01 17:18:38,['united'],"['unitedfailsagain', 'notsurprised', 'unitedsuckspic']",,0,0,959234573191311360,https://twitter.com/LindsayTAdkins/status/959234573191311360
united,We're sorry to hear this. What flight are you on today? ^KL,2018-02-01 17:18:20,[''],[''],,0,0,959234496376725504,https://twitter.com/united/status/959234496376725504
aectgs,Craig that feels like fantastic news! If feels as though you weren't quite sure if you would be reimbursed & justifiably so! So happy @ united came through and didn't ruin @ AlexaMarissa13 amazing singing performance!https://twitter.com/EyeoftheStormZ/status/959232295583584256 …,2018-02-01 17:17:56,"[u'united', u'AlexaMarissa13']",[''],,0,0,959234395734466561,https://twitter.com/aectgs/status/959234395734466561
LNN_News,"WORLD NEWS: United Airlines Employee banned from ""being Lithuanian"" in Burger King. ""We weren't prepared for this"" say officials.",2018-02-01 17:16:28,[''],[''],,0,0,959234027206184967,https://twitter.com/LNN_News/status/959234027206184967
cb0day,美联航正收紧针对“情感支持动物”的政策 据外媒The Verge报道，美国联合航空公司（United Airlines）周四宣布，由于航班上携带“情感支持动物”的乘客数量大幅增加以及相关事件增多，该公司将收紧将这些动物带上飞机的规 http://bit.ly/2s0f08q,2018-02-01 17:15:54,[''],[''],,0,0,959233886189309952,https://twitter.com/cb0day/status/959233886189309952
absolutspacegrl,Tell them. If the plane isn’t full can you move?,2018-02-01 17:15:36,[''],[''],,0,1,959233807865040896,https://twitter.com/absolutspacegrl/status/959233807865040896
NBCConnecticut,United Airlines wants to see more paperwork before passengers fly with emotional-support animals — and don't even try to bring a peacock on board http://nbcct.co/QbqtBDZ,2018-02-01 17:15:14,[''],[''],,2,14,959233716693405698,https://twitter.com/NBCConnecticut/status/959233716693405698
seanrobertgill,Bigger than the recent @ united announcement really # RhapsodyInResearch # FlyTheFriendlyResearchhttps://twitter.com/mpolikoff/status/959151914154774528 …,2018-02-01 17:14:49,[u'united'],"[u'RhapsodyInResearch', u'FlyTheFriendlyResearchhttps']",,0,0,959233612125057024,https://twitter.com/seanrobertgill/status/959233612125057024
dave_787,"Sure hope so, United Dreamliners!! Can't get enough of them!",2018-02-01 17:13:54,[''],[''],,0,0,959233382642307072,https://twitter.com/dave_787/status/959233382642307072
JayarWalker,@ united Well done on getting @ bradie_tennell's family to @ pyeongchang2018. This family deserves every reward they get!https://www.nbcchicago.com/news/local/United-Surprises-Chicago-Area-Olympians-Family-With-Trip-to-Games-472033933.html …,2018-02-01 17:13:49,"[u'united', u'bradie_tennell', u'pyeongchang2018']",[''],,2,12,959233359053430785,https://twitter.com/JayarWalker/status/959233359053430785
jhpnola,# unitedairlines you are selling a product that doesn’t exist. Stop! Polaris is not fully realized. Stop the bait and switch!!! Shame on you. It’s tacky.,2018-02-01 17:10:58,[''],[u'unitedairlines'],,0,0,959232641361903616,https://twitter.com/jhpnola/status/959232641361903616
BrentStogdill,# SupportCock - The preferred 'comfort animal' of feminists since 1962. United Airlines changes policy on comfort animals after peacock incident https://www.cbsnews.com/news/united-airlines-changes-policy-on-comfort-animals-after-peacock-incident/ … via @ CBSNews,2018-02-01 17:10:26,[u'CBSNews'],[u'SupportCock'],,0,0,959232510499737601,https://twitter.com/BrentStogdill/status/959232510499737601
EyeoftheStormZ,Remember the 12 hour delay and losing our bags? Well they told us to buy whatever we needed and they’d send us a check. Yea right. Well... got $750 in vouchers and a check for $391(what we spent on clothes). Well done @ united pic.twitter.com/GjfRyBiY5s,2018-02-01 17:09:35,[u'united'],[''],,1,15,959232295583584256,https://twitter.com/EyeoftheStormZ/status/959232295583584256
RRGonzalezMD,I would expect that he give you his seat if they upgrade him. # opportunity4chivalry,2018-02-01 17:09:19,[''],['opportunity4chivalry'],,0,1,959232229649059841,https://twitter.com/RRGonzalezMD/status/959232229649059841
coshtribune,"Following peacock fiasco, United Airlines tightens policy for comfort animals http://dlvr.it/QDdqqH pic.twitter.com/hMPUWJI1aP",2018-02-01 17:08:14,[''],[''],,0,0,959231956427812864,https://twitter.com/coshtribune/status/959231956427812864
NewsLeaderNOW,"Following peacock fiasco, United Airlines tightens policy for comfort animals https://stnva.nl/2nAx1EP pic.twitter.com/GjpPBsCW90",2018-02-01 17:08:14,[''],[''],,0,0,959231953395367936,https://twitter.com/NewsLeaderNOW/status/959231953395367936
Bellaramading,Who needs to bring a ‘comfort peacock’ onto a plane??? # emotionalsupportanimals # UnitedAirlines,2018-02-01 17:07:23,[''],"[u'emotionalsupportanimals', u'UnitedAirlines']",,0,1,959231742925254656,https://twitter.com/Bellaramading/status/959231742925254656
